Posicion,Pais,Oro,Plata,Bronce,Total,Ranking Total
1,Estados Unidos,120,88,85,293,1
2,Brasil,55,45,71,171,2
3,México,37,36,63,136,4
4,Canadá,35,64,53,152,3
5,Cuba,33,27,38,98,6
6,Argentina,32,35,34,101,5
7,Colombia,28,23,33,84,7
8,Chile,13,19,18,50,8
9,Perú,11,7,21,39,11
10,República Dominicana,10,13,17,40,10
11,Ecuador,10,7,14,31,12
12,Venezuela,9,15,19,43,9
13,Jamaica,6,6,7,19,14
14,Puerto Rico,5,5,14,24,13
15,El Salvador,3,0,1,4,21
16,Guatemala,2,9,8,19,14
17,Trinidad y Tobago,2,8,3,13,16
18,Uruguay,1,4,4,9,17
19,Paraguay,1,3,1,5,18
20,Bolivia,1,2,2,5,18
21,Granada,1,1,0,2,25
22,Costa Rica,1,0,4,5,18
23,Santa Lucia,1,0,1,2,25
24,Barbados,1,0,0,1,28
24,"Islas Vírgenes, B",1,0,0,1,28
26,Antigua y Barbuda,0,1,2,3,23
27,Honduras,0,1,1,2,25
28,Panamá,0,0,4,4,21
29,Nicaragua,0,0,3,3,23
30,Aruba,0,0,1,1,28
30,Bahamas,0,0,1,1,28
